created_at,full_text,location,text_translated,sentiment_score,sentiment
Mon Oct 07 02:21:27 +0000 2024,@crypticlord itulah cerita dia. aku standby nak report kpdnkk je dah ni. masih tunggu reply dari hari sabtu,Di Bawah Rahmat Tuhan,crypticlord thats his storyI standby to report KPDNKK je alreadyStill waiting for the reply from Saturday,0.0,Neutral
Mon Oct 07 00:43:34 +0000 2024,@KafkaHibino317 Betul Sebaiknya terus buat aduan kat apps EzyAdu @KPDN_Melaka @KPDNKK @KPDN_HQ,SUNWAY,Kafkahibino317 is right to continue complaining to the apps ezyadu kpdnmelaka kpdnkk kpdnhq,-0.2023,Negative
Sat Oct 05 10:45:57 +0000 2024,@stayvillekhali may I ask if Indonesia don t have any halal audit or spot check from the authorities? like in Malaysia we have halal audit by JAKIM and halal spot checks by KPDNKK (Ministry of Domestic Trade Co-operatives&amp;Consumerism). only registered and audited shop can use halal logo,"Kyoto-fu, Japan",stayvillekhali may i ask if Indonesia don t have any halal audit or spot check from the authoritiesLike in Malaysia we have Halal Audit by JAKIM and Halal Spot Checks by KPDNKK Ministry of Domestic Trade Cooperatives amp consumerismOnly registered and audited shop can use halal logo,0.0,Neutral
Sat Oct 05 05:42:08 +0000 2024,@r_janzal Report kt kpdnkk.,,rjanzal report kt kpdnkk,0.0,Neutral
Fri Oct 04 09:30:57 +0000 2024,@irfanhisham221 Maybe boleh cuba report dekat kpdnkk untuk dapatkan feedback dia on this matters ‍↔️ Btw this gonna be intresting case study,"George Town, Pinang",irfanhisham221 maybe try reporting near kpdnkk to get her feedback on this matter btw this gon na be intresting case study,0.0323,Neutral
Fri Oct 04 07:46:19 +0000 2024,TEMU diharamkan di Indonesia @KPDN_HQ @KPDNKK https://t.co/72qq4ShQah,"Kuala Lumpur, Malaysia ",Interviews are banned at Indonesia kpdnhq kpdnkk,-0.4588,Negative
Fri Oct 04 04:01:13 +0000 2024,@KPDNKK Saya nak check kenapa hasil siasatan terhadap aduan saya. Aduan: Kenapa restoran kenakan cas perkhidmatan 5% terhadap belian makanan dibawa balik? Jawapan hasil siasatan: Rujuk kepada Jabatan Kastam Diraja Malaysia.. Setahu saya cukai perkhidmatan 6% tapi kenapa 5% cukai servis.,,Kpdnkk I want to check why the investigation into my complaintComplaints Why is the restaurant wearing a 5 service charge on food purchasesAnswer Investigation Refer to the Royal Malaysian Customs Department I know 6 service tax but why 5 of service tax,0.0387,Neutral
Fri Oct 04 03:15:23 +0000 2024,https://t.co/Tc0z6nU6h0 @KPDN_HQ @KPDNKK @anwaribrahim harap perbetulkan perkara ini yg guna masjid kopiah dll jenama yg guna perkara berunsur islam oleh peniaga bukan islam yg cuba mengabui mata orang islam,Singapore,kpdnhq kpdnkk anwaribrahim Please correct this matter using the mosque of the Kopiah Mosque and the brand of Islamic matter by non Muslim trader trying,0.3612,Positive
Thu Oct 03 12:36:43 +0000 2024,@JackOfTrade83 Tapi kreatif la poster dia mematuhi tanda harga kpdnkk ,Kuala Lumpur,Jackoftrade83 but creative la poster he complies with the kpdnkk price tag,0.5927,Positive
Tue Oct 01 14:34:18 +0000 2024,@MCMC_RASMI @KPDNKK #misleadinginformation,Anywhere,Mcmcrasmi kpdnkk misleadinformation,0.0,Neutral
Mon Sep 30 14:21:58 +0000 2024,Salam @KPDN_HQ @KPDNKK Boleh ke rounding off cent macam tu? Bukan kalau RM4.95 stay as RM4.95? https://t.co/R4PmNIWVol,,Hello kpdnhq kpdnkk Can you go to Rounding Off Cent like thatIsnt it RM495 Stay a RM495,0.3612,Positive
Mon Sep 30 12:54:00 +0000 2024,@minaazaini Kedai² Teluk Kemang? Mmg dah lama tak pegi. Tak sedap satu hal servis tail satu hal harga kayangan satu hal. Bila la KPDNKK nak raid dan test harga patutnya brape.,,minaazaini Teluk Kemang ShopIts been a whileIt doesnt taste good for one on one service priceWhen the KPDNKK want to RAID and the price test should be brape,-0.2746,Negative
Mon Sep 30 12:41:23 +0000 2024,@anwaribrahim @DrZahidHamidi @kpkmmalaysia @KPDNKK,"ÜT: 3.1558065,101.7158325",anwaribrahim drzahidhamidi kpkmmalaysia kpdnkk,0.0,Neutral
Mon Sep 30 03:49:33 +0000 2024,@minaazaini Saya report KPDNKK yang ni dekat bandar Hilir Melaka sambal bilis petai satu piring kecil 16.00. Total bil kami 167.00. Kita faham meniaga mmg kena ada untung akan tetapi masakkan biar berbaloi dengan harga yang dibayar. Boleh ke kita ambil duit orang tanpa rasa bersalah.,Turkey,minaazaini I report this KPDNKK near the downstream cityTotal our bill 16700We understand that trading should be profitable but cooking is worth the price paidWe can take people money without guilt,0.6727,Positive
Thu Sep 05 02:08:19 +0000 2024,Been spamming for payment from 23 August until yesterday had no reply. Today: straightaway told them I want to make a police report &amp; KPDNKK &amp; viral them on Instagram. And then they just replied. Lol.,📍MY,Been spamming for payment from 23 August until yesterday had no replyToday straightaway told them I want to make a police report ampKPDNKK ampViral them on instagramAnd then they just repliedLol,-0.6124,Negative
Wed Sep 04 15:49:36 +0000 2024,Idk if yall have kpdnkk sjsjsj but please report them https://t.co/g2GeDuAZ6T,31 | she/her,Idk if yall have kpdnkk sjsjsj but please report them,0.4118,Positive
Wed Sep 04 08:02:31 +0000 2024,@prvllys Dah report. KPDNHEP bukan KPDNKK tau. Lain dua tu. Tunggu feedback penyiasat.,,prvllys already reportKPDNHEP is not KPDNKKThe other twoWait for investigator feedback,0.0,Neutral
Wed Sep 04 06:04:59 +0000 2024,@Pali24766551 @karmenlunarxisc ni rasanya boleh report kt KPDNKK.. salah ni,kuala lumpur,Pali24766551 karmenlunarxisc ni feel like reporting kt kpdnkk,0.3612,Positive
Tue Sep 03 15:20:44 +0000 2024,Kenapalah aku xjumpa tweet ni masa nk repair kereta aku habis duit rm2.5k buat topoverhaul tapi lepas kereta siap lebih dri 2 minggu dgn kereta naik mcm traktor ja semput mcm babi ja bila naik. Babi punya bengkel. Ready report kpd kpdnkk,KL /Budak Permatang Pauh ,Why did I find this tweet when I repair my car rm25k for topoverhaul but after the car wa completed for 2 week with the car rising mcm tractor ja cramp pig and when it went upPigs have workshopsReady Report to KPDNKK,-0.296,Negative
Tue Sep 03 09:16:28 +0000 2024,@hakimi_1004 @bckupacc99 @KPDNHEPKelantan Tengok post KPDNKK ni pon Zaman 2021. Mmg sah budak intern lupa share password time last day tu,Johore,Hakimi1004 bckupacc99 kpdnhepkelantan watch post kpdnkk ni pon era 2021,0.0,Neutral
Tue Sep 03 07:19:14 +0000 2024,@MekSangBuaya @nhma127 Tisu tu mek.. patot jual 30 sen. Nnt haku repot sama Itu kpdnkk. Jual singgit. Mahal,Kuala Lumpur City,Meksangbuaya nhma127 tissue tu mek Patot sell 30 centsNnt haku baking the same kpdnkkSell the ringExpensive,0.0,Neutral
Tue Sep 03 04:31:34 +0000 2024,@WadieAzman Betul tu. Sayang madani tibbehh skang ni aku rasa nak report kpdnkk sebab melampau harga ayam kedai bawah tapi skang takde harga siling dah kan,,Wadieazman thats rightDear Madani Tibbehh I think I want to report the KPDNKK because the price of the chicken is lower but the ceiling price is not,-0.1154,Negative
Tue Sep 03 03:56:25 +0000 2024,@adobubble yang no 2 tu tak silap KPDNKK,boraland,adobubble the number 2 is not wrong KPDNKK,0.4318,Positive
Tue Sep 03 00:35:00 +0000 2024,@syxsyxhiera @MAS @KPDNKK So sorry to hear that; hope you'll be compensated in some way or another. ️,Kuala Lumpur,syxsyxhiera ma kpdnkk so sorry to hear thatHope youll be compensated in some way or another,-0.188,Negative
Mon Sep 02 07:37:24 +0000 2024,@wilsonyimby @KPDNKK That s so shitty @MAS Are you doing anything?,,wilsonyimby kpdnkk that s so shitty ma are you doing anything,-0.6825,Negative
Mon Sep 02 07:36:41 +0000 2024,@motus2711 @MAS @KPDNKK They did not give us any option in the email. tahu2 terus tukar Gonna go to MAS office to complain.,,motus2711 ma kpdnkk they did not give u any option in the emailYou know how to change gon na go to MAS office to complain,-0.3612,Negative
Mon Sep 02 07:24:47 +0000 2024,@syxsyxhiera @MAS @KPDNKK Anthony Loke announcement for refund don't apply?,Kuala Lumpur,syxsyxhiera ma kpdnkk Anthony Loke Announcement for refund dont apply,0.0,Neutral
Mon Sep 02 07:19:29 +0000 2024,@syxsyxhiera @MAS @KPDNKK Sorry it was 3 hours of sitting in the plane........ Imagine that,Earth,syxsyxhiera ma kpdnkk sorry it wa 3 hour of sitting in the plane imagine that,-0.0772,Negative
Mon Sep 02 07:18:53 +0000 2024,@syxsyxhiera @MAS @KPDNKK Dunno no updates as of now yet. This was after 3 hours of delay,Earth,syxsyxhiera ma kpdnkk dunno no update a of now yetThis wa after 3 hour of delay,-0.5423,Negative
Mon Sep 02 07:17:24 +0000 2024,@wilsonyimby @MAS @KPDNKK And what s the alternative? Did they give him another flight?,,wilsonyimby ma kpdnkk and what s the alternativeDid they give him another flight,0.0,Neutral
Mon Sep 02 07:16:35 +0000 2024,@syxsyxhiera @MAS @KPDNKK My colleague flight got cancelled today hehe,Earth,syxsyxhiera ma kpdnkk my colleague flight got canceled today hehe,0.0,Neutral
Mon Sep 02 07:09:38 +0000 2024,@Beberuruang @meinmokhtar nice try kpdnkk cawangan ulu bendul,,Beberuruang meinmokhtar Nice try KPDNKK Ulu Bendul Branch,0.4215,Positive
Mon Sep 02 06:52:46 +0000 2024,Teruk eh MAS skrg? @MAS @KPDNKK Suka-suka hati tukar flight orang AWAL SEHARI woi siapa nak bayar hotel makan extra cuti tu semua? Kalau delay few hours boleh terima lagi. Ni awal sehari!,,Is it bad nowMas kpdnkk Happy to change people flight early a day woi Who want to pay for an extra holiday hotelIf you delay a few hour you can accept it againThis is the beginning of the day,0.4767,Positive
Sun Sep 01 08:14:18 +0000 2024,@KPDN_HQ @KPDNKK RM 5 melampau eh harga 1 gelas air https://t.co/HumRvBA5UQ,,Kpdnhq kpdnkk RM 5 Extreme eh Price 1 glass of water,0.0,Neutral
Sun Sep 01 06:19:29 +0000 2024,@magmalaya Aku pernah terkena dengan kedai ni. Takde menu dan takde harga. Sekali bayar harga meninggal. @KPDNKK patut ambush.,"Johor Bahru, Johor",magmalaya Ive been hit by this storeNo menu and no priceOnce the price of the price diesKpdnkk should be ambush,-0.296,Negative
Sat Aug 31 12:01:39 +0000 2024,Hari2 ke budak tu keluar pagi? Bagus la mak bapak dia nak tunjuk benda2 gini. Kecik2 dah didedahkan pasal merdeka apa benda semua. Kecik2 dh inspired tengok bomba askar polis kpdnkk imigresen apa bagai. Anak ko? ddk rumah main ML solo lord pakai Estes babi.,,The day to the boy came out in the morningIts good that his dad want to show these thingsLittle one have been exposed to independenceThe little one are inspired to see the police firefighter KPDNKK ImmigrationMy sonDDK home play ml solo lord with pig estes,0.804,Positive
Sat Aug 31 08:49:35 +0000 2024,@pedoqpop nice try kpdnkk,,pedoqpop nice try kpdnkk,0.4215,Positive
Sat Aug 31 08:31:05 +0000 2024,Please help how can I file a complaint through KPDN without a Malaysian visa? Currently contacted KPDN via email but did not receive a reply can I open a file this way?@KPDN_HQ @KPDNKK #KPDN#Malaysia,,Please help how can I file a complaint through KPDN without a Malaysian VisaCurrently contacted KPDN via email but did not receive a reply can I open a file this way Kpdnhq kpdnkk kpdn malaysia,0.2263,Positive
Fri Aug 30 14:47:54 +0000 2024,@pelisahh Rasa boleh report kpdnkk,Malaysia ,pelisahh taste can report kpdnkk,0.0,Neutral
Fri Aug 30 11:07:15 +0000 2024,Ini apa ni most of the shop in TBS is paid cash? Doing some illegal business ker? Sampai tak nak record payment online @OfficialTBSBTS @KPDNKK,"Petaling Jaya, Malaysia",What is this most of the shop in TBS is paid cashDoing some illgal business kerUntil you dont want to record payment online officialtbsbts kpdnkk,-0.0572,Negative
Fri Aug 30 07:27:04 +0000 2024,@CelcomDigi @MCMC_RASMI @Celcom @digitelco @KPDNKK bagi dah tapi buat senyap mcm tula bila buat aduan hmm,Malaysia,Celcomdigi mcmcrasmi celcom digitelco kpdnkk for it but keep quiet mcm tula when complaining hmm,-0.296,Negative
Fri Aug 30 06:38:08 +0000 2024,@ImFarhanIbrahim Hehe benda boleh 'kapak' buat apa nak bagi fixed Maknanya kena ada regulator macam KPDNKK yang pantau harga2 kat hospital swasta ni,,Imfarhanibrahim hehe can ax for what to fixed mean that there should be a regulator like KPDNKK that monitor the price at this private hospital,0.3612,Positive
Fri Aug 30 05:27:06 +0000 2024,@MaxisListens @Tealive_asia dont call it a buy 1 free 1 and impose an max price when there s NOTHING on your menu at that price. What a misleading ad @KPDNKK https://t.co/lfOKSjWwDz,"Petaling Jaya, Selangor",Maxislistens tealiveasia dont call it a buy 1 free 1 and impose an max price when there is nothing on your menu at that priceWhat a misleading ad kpdnkk,-0.1531,Negative
Fri Aug 30 05:09:08 +0000 2024,@aimannaim_as Kenapa tak buat fixed rate je? Bengkel kereta KPDNKK boleh buat jadual rate tukar minyak hitam tukar timing belt ect. dah fixed rate. Job biasa. Hospital pun kena buat macam ni.,"Kuala Lumpur, Wilayah Persekut",aimannaimas Why not make fixed rate jeThe KPDNKK Car Workshop can create a table of Black Oil Change Timing Belt ECTIts fixed rateNormal JobThe hospital ha to do this,0.5423,Positive
Fri Aug 30 03:02:11 +0000 2024,@mijirrr @MCMC_RASMI @Celcom @digitelco @KPDNKK Hai @mijirrr sila berikan nama penuh nombor telefon/akaun anda melalui DM. Kami akan menghubungi anda secepat mungkin. Terima kasih.,Malaysia,mijirrr mcmcrasmi celcom digitelco kpdnkk Hi mijirrr Please give your phoneaccount full name through DMWe will contact you a soon a possibleThank you,0.3182,Positive
Wed Aug 28 23:47:04 +0000 2024,Boleh report kt polis ke kpdnkk kalau camni?,,Can you report to the police to KPDNKK if you are,0.0,Neutral
Wed Aug 28 12:32:31 +0000 2024,@MCMC_RASMI dah byk kali buat report fibre @Celcom @digitelco masih tiada solution ya bila buat report dekat mcmc cepat ja celcomdigi tutup kes. bila appeal takda respon. Fix the problem asap org bayar tau bulan2. nak terminate contract 2 tahun. @KPDNKK,Malaysia,Mcmcrasmi ha done a report fiber celcom digitelco still ha no solution when making a report near mcmc fast and celcomdigi close the caseWhen the appeal doe not respondFix the problem smoke to pay for monthsTerminate contract 2 yearsKpdnkk,0.5713,Positive
