created_at,full_text,location,text_translated
Sat Oct 19 08:45:25 +0000 2024,@GrabMY @MusingsFun65492 @KPDNKK @KPDN_HQ always the same answer from grab but did not solve any issue for us users. It is high time they get fines just like how the banks get fines for downtime.,Malaysia,@Grabmy @musingsfun65492 @kpdnkk @kpdn_hq always the same answer from grab but did not solve any issue for users.It is high time they get fines just like how the banks get fines for downtime.
Sat Oct 19 07:26:47 +0000 2024,@MusingsFun65492 @KPDNKK @MusingsFun65492 Hi there so sorry for what happened. Could you DM us and choose Contact Support and the next available agent will with be with you.,Malaysia,@Musingsfun65492 @kpdnkk @musingsfun65492 hi there so sorry for what happened.Could you DM us and choose contact support and the next available agent will with be with you.
Sat Oct 19 07:25:05 +0000 2024,@GrabMY Why many tickets from customers and merchants are not responded to? How is it possible that your customers can't speak to anyone on live chat? Is there no answerable parties at your company after taking funds? Until @KPDNKK is included?,,@Grabmy why many tickets from customers and merchants are not responded to?How is it possible that your customers can't speak to anyone on live chat?Is there no answerable parties at your company after taking funds?Until @kpdnkk is included?
Sat Oct 19 04:59:44 +0000 2024,@ELMIELMO Sila buat laporan ke KPDNKK,Malaysia,@Elmielmo Please report to KPDNKK
Sat Oct 19 04:40:21 +0000 2024,Teman beli barang di #aeonklebang Ipoh ' skali tu bag plastik dorang #aeon jual RM0.50sen satu. Ini satu penipuan ekonomi @KPDNKK @PPIM_official @TheMerdekaTimes,Malaysia,Friends buy goods at #aeonklebang ipoh 'skali tu plastic bag #aeon sell rm0.50sen one.This is an economic fraud @kpdnkk @ppim_official @themerdatimes
Fri Oct 18 11:57:52 +0000 2024,@twt_kelantan @amir___faris Doh kalu demo stuju dengan ore sbelah demo rego tu mahal g la buat report dekat kpdnkk ko pihak berkuaso hok lain ko.. baru napok bijok sikit,,@twt_kelantan @amir___faris doh kalu demo stuju with ore after the rego demo is expensive to make a report near kpdnkk ko other parties i am ..
Tue Oct 15 16:13:02 +0000 2024,Achar timun tu adalah I mintak timun and diorang kasi i 5 keping timun je nipis pulak tu harga yaa rabbi Rm 2.50 . timun je kot.. 1 batang tak sampai 2 hinggit @KPDNKK @KPDN_HQ https://t.co/P9aNV330bI,,Achar cucumber is a cucumber and a 5 piece of cucumber thinner and a rabbi price of RM 2.50.cucumber je kot .. 1 stick not up to 2 hinggit @kpdnkk @kpdn_hq https://t.co/p9anv330bi
Tue Oct 15 05:41:54 +0000 2024,Tanda harga takde kalau kena dgn kpdnkk... hmm,Penang,The price tag is not going to be with the KPDNKK ... hmm
Tue Oct 15 02:53:34 +0000 2024,@mhmmdhsm Kalau x letak tanda harga auto dah salah dah dari sisi undang2.. kpdnkk boleh raid terus huhu,"Seremban, Negeri Sembilan",@mhmmdhsm if x put the auto price mark is wrong from the law .. kpdnkk can be kept right
Mon Oct 14 01:48:06 +0000 2024,@asta_alon @KPDNKK @PDRMsia @HeinekenMyBhd @komunikasi_gov Hi @asta_alon Terima kasih atas keprihatinan anda. Anda dinasihatkan untuk menyalurkan aduan rasmi ke portal Aduan MCMC https://t.co/62g5rxDeaJ untuk perhatian selanjutnya.,"MCMC HQ Tower 1, Cyberjaya",@asta_alon @kpdnkk @pdrmsia @heinekenmybhd @komunication_gov Hi @asta_alon Thank you for your concern.You are advised to distribute official complaints to the mcmc complaint portal https://t.co/62G5RXDEJ for further attention.
Mon Oct 14 00:08:17 +0000 2024,Iklan arak??? Boleh ke iklan arak? Mohon siasat dan minta penjelasan @KPDNKK @MCMC_RASMI @PDRMsia @HeinekenMyBhd @komunikasi_gov https://t.co/pdWpAxWiXu,"Kuching, Sarawak",Advertisement ???Can you go to a liquor ad?Please investigate and request an explanation @kpdnkk @mcmc_rasmi @pdrmsia @heinekenmybhd @komunication_gov https://t.co/pdwpaxwixu
Sun Oct 13 12:21:58 +0000 2024,@liberalisdumb @DBKL2u Takde la sentap ngan orang macam kau. Banyak lagi benda boleh buat cuma aku tak tahan orang bodoh je. Lagi2 orang bodoh tak sedar diri &amp; tak faham bahasa Kpdnkk lek je terjah. Tau2 je ni kantoi tu kantoi. Bkn orang viral baru nak gerak. Sbb tu aku ckp kau ni bodoh bangang,,@liberalisdumb @dbkl2u is not just a person like you.There are many more things to do but I can't stand the fool.More ignorant people & amp;I do not understand the language of KPDNKK Lek je.Tau2 je ni kantoi tu kantoi.It's not a new viral person to move.So I think you are a fool
Sun Oct 13 10:11:08 +0000 2024,@KPDN_HQ @KPDNKK @KPDN_Melaka @HasnolzamzamKSU @KpdnhepW Apakah penguatkuasaan tanda HARGA di gedung premium berbeda dengan kedai di tepi jalan? Jawapan: https://t.co/EAZNn1vdZ4,"Kuala Lumpur, Malaysia ",@Kpdn_hq @kpdnkk @kpdn_melaka @hasnolzamzamksu @kpdnhepw What is the price tag in the premium store with a roadside shop?Answer: https://t.co/eaznn1vdz4
Wed Oct 09 10:43:26 +0000 2024,@SinarOnline Kami di Miri tak ada yg telur dijual di bawah RM18/-. Tolonglah check betul2 harga di pasaran kami @KPDNKK @KPDN_HQ,"Miri, Sarawak",@SinarOnline in Miri there is no eggs for sale under RM18/-.Please check the price on our market @kpdnkk @kpdn_hq
Wed Oct 09 07:34:04 +0000 2024,@MalaysiaGazette Telur mata duk rm1.50 gak.. kpdnkk ptut pantau.. telur trun harga harga tlur mata duk rm1.50 mcm zaman telur xdak tu..,05200↔️ANFIELD↔️43650,@Malaysiagazette Eggs Duk rm1.50 Gak .. kpdnkk ptut monitor .. egg trun price price tlur duk rm1.50 mcm egg age xdak tu ..
Tue Oct 08 11:21:01 +0000 2024,kena buat mcm mana KPDNKK buat dkt stesyen minyak yang benarkan kereta luar negara isi minyak bersubsidi.,Petaling Jaya,It is possible to do so where the KPDNKK for the oil station allows the overseas car to be subsidized oil.
Tue Oct 08 01:15:10 +0000 2024,Kenapa kalau GIBH boleh tayang tunjuk Nama syarikat dan restoran? Tapi kalau bukan Islam lain mcm keistimewaan? @pakatanharapan_ @KPDN_HQ @KPDNKK @UMonline @bharianmy @SinarOnline @kosmo_online Restoran diarah tutup lepas tular basuh periuk guna penyapu https://t.co/dSPu3pZP2t,sky high,What if Gibh can show the name of the company and restaurant?But if not other Islam is a privilege?@pakatanharapan_ @kpdn_hq @kpdnkk @umonline @bharianmy @sinaronline @kosmo_online restaurant is directed to cover after washing pots using broom https://t.co/dspu3pzp2t
Mon Oct 07 06:36:51 +0000 2024,KPDNKK tak ada nak buat pemeriksaan dekat klinik-klinik ke? Senarai harga untuk rawatan macam tak ada. Lepas rawatan mesti dia macam seprais berapa laa agaknya kena kejap lagi ye? Ke tak perlu? Kedai runcit dan makan je yang kena pamerkan harga?,"Bandar Kuala Lumpur, Wilayah P",KPDNKK does not want to check near the clinics?List of prices for such treatment.After the treatment he must be like how much he seems to have to do it again?Don't you need it?Grocery store and eating a price?
Mon Oct 07 02:21:27 +0000 2024,@crypticlord itulah cerita dia. aku standby nak report kpdnkk je dah ni. masih tunggu reply dari hari sabtu,Di Bawah Rahmat Tuhan,@crypticlord that's his story.I standby to report KPDNKK je already.Still waiting for the reply from Saturday
Mon Oct 07 00:43:34 +0000 2024,@KafkaHibino317 Betul Sebaiknya terus buat aduan kat apps EzyAdu @KPDN_Melaka @KPDNKK @KPDN_HQ,SUNWAY,@Kafkahibino317 is right to continue complaining to the apps ezyadu @kpdn_melaka @kpdnkk @kpdn_hq
Sat Oct 05 10:45:57 +0000 2024,@stayvillekhali may I ask if Indonesia don t have any halal audit or spot check from the authorities? like in Malaysia we have halal audit by JAKIM and halal spot checks by KPDNKK (Ministry of Domestic Trade Co-operatives&amp;Consumerism). only registered and audited shop can use halal logo,"Kyoto-fu, Japan",@stayvillekhali may i ask if Indonesia don t have any halal audit or spot check from the authorities?Like in Malaysia we have Halal Audit by JAKIM and Halal Spot Checks by KPDNKK (Ministry of Domestic Trade Co-operatives & amp; consumerism).Only registered and audited shop can use halal logo
Sat Oct 05 05:42:08 +0000 2024,@r_janzal Report kt kpdnkk.,,@r_janzal report kt kpdnkk.
Fri Oct 04 09:30:57 +0000 2024,@irfanhisham221 Maybe boleh cuba report dekat kpdnkk untuk dapatkan feedback dia on this matters ‍↔️ Btw this gonna be intresting case study,"George Town, Pinang",@irfanhisham221 maybe try reporting near kpdnkk to get her feedback on this matter ‍↔️ btw this gonna be intresting case study
Fri Oct 04 07:46:19 +0000 2024,TEMU diharamkan di Indonesia @KPDN_HQ @KPDNKK https://t.co/72qq4ShQah,"Kuala Lumpur, Malaysia ",Interviews are banned at Indonesia @kpdn_hq @kpdnkk https://t.co/72qq4shqah
Fri Oct 04 04:01:13 +0000 2024,@KPDNKK Saya nak check kenapa hasil siasatan terhadap aduan saya. Aduan: Kenapa restoran kenakan cas perkhidmatan 5% terhadap belian makanan dibawa balik? Jawapan hasil siasatan: Rujuk kepada Jabatan Kastam Diraja Malaysia.. Setahu saya cukai perkhidmatan 6% tapi kenapa 5% cukai servis.,,@Kpdnkk I want to check why the investigation into my complaint.Complaints: Why is the restaurant wearing a 5% service charge on food purchases?Answer Investigation: Refer to the Royal Malaysian Customs Department .. I know 6% service tax but why 5% of service tax.
Fri Oct 04 03:15:23 +0000 2024,https://t.co/Tc0z6nU6h0 @KPDN_HQ @KPDNKK @anwaribrahim harap perbetulkan perkara ini yg guna masjid kopiah dll jenama yg guna perkara berunsur islam oleh peniaga bukan islam yg cuba mengabui mata orang islam,Singapore,https://t.co/tc0z6nu6h0 @kpdn_hq @kpdnkk @anwaribrahim Please correct this matter using the mosque of the Kopiah Mosque and the brand of Islamic matter by non -Muslim traders trying
Thu Oct 03 12:36:43 +0000 2024,@JackOfTrade83 Tapi kreatif la poster dia mematuhi tanda harga kpdnkk ,Kuala Lumpur,@Jackoftrade83 but creative la poster he complies with the kpdnkk price tag
Tue Oct 01 14:34:18 +0000 2024,@MCMC_RASMI @KPDNKK #misleadinginformation,Anywhere,@Mcmc_rasmi @kpdnkk #misleadinformation
Mon Sep 30 14:21:58 +0000 2024,Salam @KPDN_HQ @KPDNKK Boleh ke rounding off cent macam tu? Bukan kalau RM4.95 stay as RM4.95? https://t.co/R4PmNIWVol,,Hello @kpdn_hq @kpdnkk Can you go to Rounding Off Cent like that?Isn't it RM4.95 Stay as RM4.95?https://t.co/r4pmniwvol
Mon Sep 30 12:54:00 +0000 2024,@minaazaini Kedai² Teluk Kemang? Mmg dah lama tak pegi. Tak sedap satu hal servis tail satu hal harga kayangan satu hal. Bila la KPDNKK nak raid dan test harga patutnya brape.,,@minaazaini Teluk Kemang Shop?It's been a while.It doesn't taste good for one -on -one service price.When the KPDNKK wants to RAID and the price test should be brape.
Mon Sep 30 12:41:23 +0000 2024,@anwaribrahim @DrZahidHamidi @kpkmmalaysia @KPDNKK,"ÜT: 3.1558065,101.7158325",@anwaribrahim @drzahidhamidi @kpkmmalaysia @kpdnkk
Mon Sep 30 03:49:33 +0000 2024,@minaazaini Saya report KPDNKK yang ni dekat bandar Hilir Melaka sambal bilis petai satu piring kecil 16.00. Total bil kami 167.00. Kita faham meniaga mmg kena ada untung akan tetapi masakkan biar berbaloi dengan harga yang dibayar. Boleh ke kita ambil duit orang tanpa rasa bersalah.,Turkey,@minaazaini I report this KPDNKK near the downstream cityTotal our bill 167.00.We understand that trading should be profitable but cooking is worth the price paid.We can take people's money without guilt.
Thu Sep 05 02:08:19 +0000 2024,Been spamming for payment from 23 August until yesterday had no reply. Today: straightaway told them I want to make a police report &amp; KPDNKK &amp; viral them on Instagram. And then they just replied. Lol.,📍MY,Been spamming for payment from 23 August until yesterday had no reply.Today: straightaway told them I want to make a police report & amp;KPDNKK & amp;Viral them on instagram.And then they just replied.Lol.
Wed Sep 04 15:49:36 +0000 2024,Idk if yall have kpdnkk sjsjsj but please report them https://t.co/g2GeDuAZ6T,31 | she/her,Idk if yall have kpdnkk sjsjsj but please report them https://t.co/g2Geduaz6t
Wed Sep 04 08:02:31 +0000 2024,@prvllys Dah report. KPDNHEP bukan KPDNKK tau. Lain dua tu. Tunggu feedback penyiasat.,,@prvllys already report.KPDNHEP is not KPDNKK.The other two.Wait for investigator feedback.
Wed Sep 04 06:04:59 +0000 2024,@Pali24766551 @karmenlunarxisc ni rasanya boleh report kt KPDNKK.. salah ni,kuala lumpur,@Pali24766551 @karmenlunarxisc ni feels like reporting kt kpdnkk ..
Tue Sep 03 15:20:44 +0000 2024,Kenapalah aku xjumpa tweet ni masa nk repair kereta aku habis duit rm2.5k buat topoverhaul tapi lepas kereta siap lebih dri 2 minggu dgn kereta naik mcm traktor ja semput mcm babi ja bila naik. Babi punya bengkel. Ready report kpd kpdnkk,KL /Budak Permatang Pauh ,Why did I find this tweet when I repair my car rm2.5k for topoverhaul but after the car was completed for 2 weeks with the car rising mcm tractor ja cramps pigs and when it went up.Pigs have workshops.Ready Report to KPDNKK
Tue Sep 03 09:16:28 +0000 2024,@hakimi_1004 @bckupacc99 @KPDNHEPKelantan Tengok post KPDNKK ni pon Zaman 2021. Mmg sah budak intern lupa share password time last day tu,Johore,@Hakimi_1004 @bckupacc99 @kpdnhepkelantan watch post kpdnkk ni pon era 2021.
Tue Sep 03 07:19:14 +0000 2024,@MekSangBuaya @nhma127 Tisu tu mek.. patot jual 30 sen. Nnt haku repot sama Itu kpdnkk. Jual singgit. Mahal,Kuala Lumpur City,@Meksangbuaya @nhma127 tissue tu mek .. Patot sell 30 cents.Nnt haku baking the same kpdnkk.Sell ​​the ring.Expensive
Tue Sep 03 04:31:34 +0000 2024,@WadieAzman Betul tu. Sayang madani tibbehh skang ni aku rasa nak report kpdnkk sebab melampau harga ayam kedai bawah tapi skang takde harga siling dah kan,,@Wadieazman that's right.Dear Madani Tibbehh I think I want to report the KPDNKK because the price of the chicken is lower but the ceiling price is not
Tue Sep 03 03:56:25 +0000 2024,@adobubble yang no 2 tu tak silap KPDNKK,boraland,@adobubble the number 2 is not wrong KPDNKK
Tue Sep 03 00:35:00 +0000 2024,@syxsyxhiera @MAS @KPDNKK So sorry to hear that; hope you'll be compensated in some way or another. ️,Kuala Lumpur,@syxsyxhiera @mas @kpdnkk so sorry to hear that;Hope you'll be compensated in some way or another.️
Mon Sep 02 07:37:24 +0000 2024,@wilsonyimby @KPDNKK That s so shitty @MAS Are you doing anything?,,@wilsonyimby @kpdnkk that s so shitty @mas are you doing anything?
Mon Sep 02 07:36:41 +0000 2024,@motus2711 @MAS @KPDNKK They did not give us any option in the email. tahu2 terus tukar Gonna go to MAS office to complain.,,@motus2711 @mas @kpdnkk they did not give us any option in the email.You know how to change gonna go to MAS office to complain.
Mon Sep 02 07:24:47 +0000 2024,@syxsyxhiera @MAS @KPDNKK Anthony Loke announcement for refund don't apply?,Kuala Lumpur,@syxsyxhiera @mas @kpdnkk Anthony Loke Announcement for refund don't apply?
Mon Sep 02 07:19:29 +0000 2024,@syxsyxhiera @MAS @KPDNKK Sorry it was 3 hours of sitting in the plane........ Imagine that,Earth,@syxsyxhiera @mas @kpdnkk sorry it was 3 hours of sitting in the plane ........ imagine that
Mon Sep 02 07:18:53 +0000 2024,@syxsyxhiera @MAS @KPDNKK Dunno no updates as of now yet. This was after 3 hours of delay,Earth,@syxsyxhiera @mas @kpdnkk dunno no updates as of now yet.This was after 3 hours of delay
Mon Sep 02 07:17:24 +0000 2024,@wilsonyimby @MAS @KPDNKK And what s the alternative? Did they give him another flight?,,@wilsonyimby @mas @kpdnkk and what s the alternative?Did they give him another flight?
Mon Sep 02 07:16:35 +0000 2024,@syxsyxhiera @MAS @KPDNKK My colleague flight got cancelled today hehe,Earth,@syxsyxhiera @mas @kpdnkk my colleague flight got canceled today hehe
Mon Sep 02 07:09:38 +0000 2024,@Beberuruang @meinmokhtar nice try kpdnkk cawangan ulu bendul,,@Beberuruang @meinmokhtar Nice try KPDNKK Ulu Bendul Branch
Mon Sep 02 06:52:46 +0000 2024,Teruk eh MAS skrg? @MAS @KPDNKK Suka-suka hati tukar flight orang AWAL SEHARI woi siapa nak bayar hotel makan extra cuti tu semua? Kalau delay few hours boleh terima lagi. Ni awal sehari!,,Is it bad now?@Mas @kpdnkk Happy to change people's flights early a day woi Who wants to pay for an extra holiday hotel?If you delay a few hours you can accept it again.This is the beginning of the day!
Sun Sep 01 08:14:18 +0000 2024,@KPDN_HQ @KPDNKK RM 5 melampau eh harga 1 gelas air https://t.co/HumRvBA5UQ,,@Kpdn_hq @kpdnkk RM 5 Extreme eh Price 1 glass of water https://t.co/humrvba5uq
Sun Sep 01 06:19:29 +0000 2024,@magmalaya Aku pernah terkena dengan kedai ni. Takde menu dan takde harga. Sekali bayar harga meninggal. @KPDNKK patut ambush.,"Johor Bahru, Johor",@magmalaya I've been hit by this store.No menu and no price.Once the price of the price dies.@Kpdnkk should be ambush.
Sat Aug 31 12:01:39 +0000 2024,Hari2 ke budak tu keluar pagi? Bagus la mak bapak dia nak tunjuk benda2 gini. Kecik2 dah didedahkan pasal merdeka apa benda semua. Kecik2 dh inspired tengok bomba askar polis kpdnkk imigresen apa bagai. Anak ko? ddk rumah main ML solo lord pakai Estes babi.,,The days to the boy came out in the morning?It's good that his dad wants to show these things.Little ones have been exposed to independence.The little ones are inspired to see the police firefighters KPDNKK Immigration.My son?DDK home play ml solo lord with pig estes.
Sat Aug 31 08:49:35 +0000 2024,@pedoqpop nice try kpdnkk,,@pedoqpop nice try kpdnkk
Sat Aug 31 08:31:05 +0000 2024,Please help how can I file a complaint through KPDN without a Malaysian visa? Currently contacted KPDN via email but did not receive a reply can I open a file this way?@KPDN_HQ @KPDNKK #KPDN#Malaysia,,Please help how can I file a complaint through KPDN without a Malaysian Visa?Currently contacted KPDN via email but did not receive a reply can I open a file this way? @Kpdn_hq @kpdnkk #kpdn #malaysia
Fri Aug 30 14:47:54 +0000 2024,@pelisahh Rasa boleh report kpdnkk,Malaysia ,@pelisahh taste can report kpdnkk
Fri Aug 30 11:07:15 +0000 2024,Ini apa ni most of the shop in TBS is paid cash? Doing some illegal business ker? Sampai tak nak record payment online @OfficialTBSBTS @KPDNKK,"Petaling Jaya, Malaysia",What is this most of the shop in TBS is paid cash?Doing some illgal business ker?Until you don't want to record payment online @officialtbsbts @kpdnkk
Fri Aug 30 07:27:04 +0000 2024,@CelcomDigi @MCMC_RASMI @Celcom @digitelco @KPDNKK bagi dah tapi buat senyap mcm tula bila buat aduan hmm,Malaysia,@Celcomdigi @mcmc_rasmi @celcom @digitelco @kpdnkk for it but keep quiet mcm tula when complaining hmm
Fri Aug 30 06:38:08 +0000 2024,@ImFarhanIbrahim Hehe benda boleh 'kapak' buat apa nak bagi fixed Maknanya kena ada regulator macam KPDNKK yang pantau harga2 kat hospital swasta ni,,@Imfarhanibrahim hehe can 'ax' for what to fixed means that there should be a regulator like KPDNKK that monitor the price at this private hospital
Fri Aug 30 05:27:06 +0000 2024,@MaxisListens @Tealive_asia dont call it a buy 1 free 1 and impose an max price when there s NOTHING on your menu at that price. What a misleading ad @KPDNKK https://t.co/lfOKSjWwDz,"Petaling Jaya, Selangor",@Maxislistens @tealive_asia dont call it a buy 1 free 1 and impose an max price when there is nothing on your menu at that price.What a misleading ad @kpdnkk https://t.co/lfoksjwwdz
Fri Aug 30 05:09:08 +0000 2024,@aimannaim_as Kenapa tak buat fixed rate je? Bengkel kereta KPDNKK boleh buat jadual rate tukar minyak hitam tukar timing belt ect. dah fixed rate. Job biasa. Hospital pun kena buat macam ni.,"Kuala Lumpur, Wilayah Persekut",@aimannaim_as Why not make fixed rate je?The KPDNKK Car Workshop can create a table of Black Oil Change Timing Belt ECT.It's fixed rate.Normal Job.The hospital has to do this.
Fri Aug 30 03:02:11 +0000 2024,@mijirrr @MCMC_RASMI @Celcom @digitelco @KPDNKK Hai @mijirrr sila berikan nama penuh nombor telefon/akaun anda melalui DM. Kami akan menghubungi anda secepat mungkin. Terima kasih.,Malaysia,@mijirrr @mcmc_rasmi @celcom @digitelco @kpdnkk Hi @mijirrr Please give your phone/account full name through DM.We will contact you as soon as possible.Thank you.
Wed Aug 28 23:47:04 +0000 2024,Boleh report kt polis ke kpdnkk kalau camni?,,Can you report to the police to KPDNKK if you are?
Wed Aug 28 12:32:31 +0000 2024,@MCMC_RASMI dah byk kali buat report fibre @Celcom @digitelco masih tiada solution ya bila buat report dekat mcmc cepat ja celcomdigi tutup kes. bila appeal takda respon. Fix the problem asap org bayar tau bulan2. nak terminate contract 2 tahun. @KPDNKK,Malaysia,@Mcmc_rasmi has done a report fiber @celcom @digitelco still has no solution when making a report near mcmc fast and celcomdigi closes the case.When the appeal does not respond.Fix the problem smoke to pay for months.Terminate contract 2 years.@Kpdnkk
Sat Aug 24 00:15:14 +0000 2024,@bckupacc99 50??? @KPDNKK tengok ni main letak je harga Kalau kata 20-25 blh terima lg ,"Bangi, Selangor.",@bckupacc99 50 ???@Kpdnkk look at this priced if 20-25 can accept lg
